; v1; ; ; ; v2; ; ; ; v3; ; ; ; v4; ; ; ; 
t; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; 
30;  1767.8;  9147.4;  0.0;  10915.1;  0.0;  7717.5;  819.9;  8537.4;  1321.9;  9235.6;  0.0;  10557.5; 
60;  1040.1;  7563.1;  1196.7;  9800.0;  843.1;  4919.1;  0.0;  5762.2;  1007.0;  4313.2;  0.0;  5320.2; 
90;  1788.9;  4957.5;  939.5;  7685.8;  1884.4;  4005.9;  0.0;  5890.3;  2089.2;  4054.3;  0.0;  6143.5; 
120;  1059.4;  5223.4;  0.0;  6282.8;  977.4;  4203.4;  0.0;  5180.8;  1137.9;  4465.5;  0.0;  5603.4; 
150;  820.0;  3891.2;  0.0;  4711.2;  1100.9;  3583.1;  0.0;  4684.0;  1275.2;  3420.3;  0.0;  4695.6; 
180;  2004.7;  5588.8;  0.0;  7593.5;  1129.4;  4846.6;  0.0;  5976.0;  968.3;  4711.1;  245.1;  5924.5; 
240;  1867.4;  4893.3;  0.0;  6760.7;  2342.3;  4422.6;  0.0;  6764.9;  1192.8;  4995.1;  0.0;  6188.0; 
300;  2359.1;  5290.2;  0.0;  7649.3;  1886.7;  4104.4;  0.0;  5991.0;  2189.3;  4645.4;  0.0;  6834.6; 
450;  2051.3;  3850.3;  0.0;  5901.6;  1216.9;  4112.6;  0.0;  5329.5;  1100.5;  4602.7;  0.0;  5703.1; 
600;  2061.8;  4261.5;  0.0;  6323.3;  2197.2;  3898.1;  0.0;  6095.2;  2605.1;  3640.8;  0.0;  6245.9; 
900;  2242.2;  4635.1;  0.0;  6877.3;  1488.1;  5079.4;  0.0;  6567.4;  2116.5;  4336.6;  0.0;  6453.1;  0.0;  0.0;  0.0;  0.0; 
