; v1; ; ; ; v2; ; ; ; v3; ; ; ; v4; ; ; ; v5; ; ; ;
C; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum;
L4;  162581.9;  197891.2;  24997.3;  385470.5;  169042.7;  257327.7;  30838.7;  457209.0;  209516.8;  288313.1;  33614.0;  531443.9;  205801.8;  265031.3;  28380.1;  499213.2;  154275.6;  335544.9;  40049.0;  529869.6; 
L5;  183048.2;  230296.4;  28007.4;  441351.9;  169463.0;  268395.2;  30293.0;  468151.2;  201282.9;  288559.8;  32260.1;  522102.8;  206610.2;  268432.8;  29792.9;  504835.9;  146097.6;  323227.7;  41007.1;  510332.4; 
L6;  149994.8;  138879.8;  16335.7;  305210.3;  158422.0;  143975.8;  16456.4;  318854.2;  150629.3;  169409.5;  19386.2;  339425.0;  151091.4;  157378.8;  16790.9;  325261.2;  111879.5;  183010.1;  21713.3;  316602.9; 
L7;  131741.1;  90071.1;  9985.2;  231797.4;  117305.9;  86758.1;  9034.2;  213098.2;  125343.7;  101957.1;  11336.3;  238637.0;  120254.8;  107558.8;  12691.3;  240504.9;  89127.9;  104741.9;  13381.3;  207251.1; 
L8;  97047.3;  42276.0;  5557.0;  144880.3;  82974.0;  52416.1;  6510.2;  141900.3;  104693.7;  65413.9;  8311.5;  178419.1;  88106.5;  64335.0;  8072.4;  160513.9;  87112.8;  73998.3;  8841.3;  169952.4; 
L9;  84551.8;  26783.8;  2931.8;  114267.3;  76696.1;  39451.3;  4000.0;  120147.4;  87254.1;  41281.6;  4520.0;  133055.7;  84396.2;  41329.7;  4798.6;  130524.5;  79264.0;  36127.3;  4305.8;  119697.1; 
L10;  55712.7;  21602.2;  2561.0;  79875.9;  53317.2;  21716.8;  2036.8;  77070.8;  53335.3;  21700.1;  2976.2;  78011.7;  60537.6;  21156.0;  3001.5;  84695.0;  57041.2;  21834.9;  2672.5;  81548.7; 
L11;  28448.4;  10056.4;  678.7;  39183.5;  28939.8;  10809.9;  615.5;  40365.2;  29312.2;  10035.5;  1312.8;  40660.5;  29498.6;  11039.9;  1776.4;  42314.9;  27765.6;  11256.5;  1341.1;  40363.1; 
L12;  14686.6;  6557.8;  477.0;  21721.3;  14832.9;  5986.3;  273.3;  21092.5;  12907.2;  5635.3;  208.1;  18750.6;  9537.7;  4253.9;  927.6;  14719.1;  15808.1;  6513.3;  531.4;  22852.8; 
